replicate,auc
0,0.7620148246199011
1,0.7706054580389895
2,0.7589366347091977
3,0.7527950172946304
4,0.7616601172338899
5,0.7714185187551648
6,0.7684479804973832
7,0.7528158221011096
8,0.7605972913468938
9,0.7532376331468098
10,0.7577592162761888
11,0.7529743804873689
12,0.766564535424789
13,0.7521548392006023
14,0.7553367906145241
15,0.7711797116360966
16,0.7543734407385202
17,0.7641239366633691
18,0.763494604973619
19,0.7547966627322832
20,0.7615479038805656
21,0.7645311762326301
22,0.7585924079158135
23,0.7674581259015147
24,0.7674653105800219
25,0.7656777922852995
26,0.7545218564607881
27,0.7549529902281407
28,0.7568018515899388
29,0.7571247690352083
30,0.756023282099398
31,0.7594102879856569
32,0.7547262798917546
33,0.7642707451814675
34,0.7635408189517123
35,0.759366314600902
36,0.7699687674122705
37,0.7558794321153324
38,0.7526163419653676
39,0.7642173750283398
40,0.7588356638089522
41,0.7626266664082462
42,0.7482313215602808
43,0.7646631180024528
44,0.7622486180345583
45,0.7555459170705439
46,0.7565123915453353
47,0.7613079300750372
48,0.7573881412986503
49,0.7567011094093152
50,0.7573619434651248
51,0.7585570870026682
52,0.7662757210775463
53,0.7539375438591875
54,0.764887505237132
55,0.7535112441510888
56,0.7635756506788207
57,0.7602637448421992
58,0.7551562825259
59,0.7635844245216556
60,0.7614106170499491
61,0.7491145701746998
62,0.7623005015703044
63,0.7611477172487051
64,0.748146375514675
65,0.758332351180625
66,0.7623951113234226
67,0.7513524408577297
68,0.7593175465097938
69,0.7535054356708487
70,0.7613107429998789
71,0.7638466083529375
72,0.7655064642121219
73,0.765224147207227
74,0.7674819098649595
75,0.7637824644758119
76,0.7565546534500023
77,0.7501625383404845
78,0.7502405215244227
79,0.7550154485628319
80,0.7684074763380367
81,0.7548229173226804
82,0.7669642520283615
83,0.7541514577167769
84,0.7680728203292295
85,0.7603189104714396
86,0.7609203082800362
87,0.7567173007932394
88,0.7626122032206424
89,0.7559703950765058
90,0.7656861603069411
91,0.758542595876811
92,0.7578545375660145
93,0.7568444261252623
94,0.767601513634274
95,0.7568601557138341
96,0.7560268287316954
97,0.7582941679750019
98,0.7534818175550038
99,0.7531271908711686
100,0.7690539846680434
101,0.7538132534952409
102,0.760329704785941
103,0.7552678661011816
104,0.7562646663326917
105,0.7511635757040795
106,0.7583401049700812
107,0.7540611064768558
108,0.7606717968995549
109,0.7575142447945055
110,0.7670020371554898
111,0.7579254771769564
112,0.7669972369005285
113,0.7534097818028633
114,0.7608136210792724
115,0.7545852401408651
116,0.7539060752660437
117,0.7652600889588826
118,0.758641854544325
119,0.7483916168405191
120,0.7687161453957738
121,0.7540139482769451
122,0.7558888266441847
123,0.7654774949486991
124,0.7587013023960918
125,0.7644170115779769
126,0.7614448217863594
127,0.7661281370907802
128,0.764685067232838
129,0.7678540431553119
130,0.7630332893314515
131,0.769302414611567
132,0.7539280480947228
133,0.7578961805150362
134,0.769885597771291
135,0.7537360469405456
136,0.7616589872529869
137,0.7609076593084447
138,0.757544763271983
139,0.7603119061619715
140,0.7740187186574485
141,0.7547183908381861
142,0.7571569538641101
143,0.7617962470175861
144,0.7505937087468137
145,0.7692853101487576
146,0.7537892044837411
147,0.7511229667358919
148,0.7612781618090575
149,0.7544902065025905
150,0.7478273849764638
151,0.7551014840005903
152,0.7490210270188937
153,0.7610814857327803
154,0.7670210316060803
155,0.7681222201623182
156,0.7648975380907674
157,0.7600778805045564
158,0.7510861057899386
159,0.7524728560223137
160,0.7625816737190054
161,0.7516690641533037
162,0.7476412383988482
163,0.7574497636205428
164,0.757054959205211
165,0.756086459980887
166,0.7532659143143182
167,0.758912925111981
168,0.7545710477125505
169,0.7635422442720226
170,0.7683354207105116
171,0.7594319045781355
172,0.7470239324130443
173,0.7648666797857222
174,0.7592778344623363
175,0.7424358228879004
176,0.7543312405786154
177,0.7568795256062577
178,0.7620263398280501
179,0.7551917332373952
180,0.7582400329964332
181,0.7656546281994342
182,0.7551232341358456
183,0.7569625314608592
184,0.7594567248813648
185,0.7558717160605317
186,0.7510130377159909
187,0.75788355039966
188,0.7525580507260982
189,0.7614624438175519
190,0.7621748396563245
191,0.7577882453205369
192,0.761115433470943
193,0.7677529380303616
194,0.7623547337671939
195,0.762765325817624
196,0.7569152909668593
197,0.7535254370969988
198,0.7609903293872011
199,0.7645479856916447
200,0.7659567375740146
201,0.764250691677438
202,0.7492454335384654
203,0.755500161452986
204,0.7642952831218845
205,0.7519239000404203
206,0.7598119736215039
207,0.7652525743699902
208,0.7665695677055229
209,0.7544566527080387
210,0.7470453172165183
211,0.7583926641343125
212,0.7605523271471983
213,0.7577467358518533
214,0.7597117193531899
215,0.771221049496331
216,0.7660516287649394
217,0.7732898772434064
218,0.762008626038408
219,0.7593336864433626
220,0.7598356558795221
221,0.7604761978734449
222,0.7584534026399885
223,0.7626533235902859
224,0.7672812574791144
225,0.7628442219425784
226,0.753802703526226
227,0.7556133955491059
228,0.7605397256881112
229,0.7546040174588649
230,0.7624965746836598
231,0.759388201665846
232,0.7687088680258385
