model,internal_oof_auc,external_auc,external_auc_lo,external_auc_hi,external_cal_intercept,external_cal_intercept_lo,external_cal_intercept_hi,external_cal_slope,external_cal_slope_lo,external_cal_slope_hi
random_forest,,0.7079054200272594,0.6860424828695183,0.7297683571850005,-0.34459878139509226,-0.550579920921097,-0.1386176418690875,0.8759711066541441,0.7813592060316694,0.9705830072766188
linear_logistic,0.7067023472314478,0.5994002242847942,0.5700689357520556,0.6287315128175328,-1.2575862668226963,-1.4821147151296212,-1.0330578185157713,0.3840290543845803,0.27268649108717025,0.49537161768199034
flexible_logistic,0.7572475065596758,0.6935396758540289,0.6739285716529035,0.7131507800551542,-0.7962638378596538,-0.9465875230192241,-0.6459401527000835,0.5854223216993332,0.5151796163189126,0.6556650270797537
