threshold,random_forest,penalized_logistic_regression,age_only,cbc_test_all,cbc_test_none,flexible_logistic
0.01,0.085163242355771,0.0817517248011486,0.0851146144940755,0.0851146144940755,0.0,0.08426161743922073
0.02,0.0773482730878091,0.0693897775319364,0.0757790493358518,0.0757790493358518,0.0,0.07442067964262851
0.03,0.0698349311477153,0.0583605587735325,0.066250998298077,0.066250998298077,0.0,0.06677012529491641
0.04,0.0616748832827917,0.049122457295933,0.0558328287288006,0.0565244461970153,0.0,0.059747670255045335
0.05,0.0550127629658593,0.0395379795410749,0.039836804606081,0.0465931245780365,0.0,0.05352735227301454
0.06,0.0481895674106378,0.0322278974576591,0.0293181422205131,0.0364504982437603,0.0,0.04750896585550392
0.0699999999999999,0.0419565271297153,0.0243364015959199,0.0210791976482242,0.0260897509130481,0.0,0.03941476238049251
0.08,0.0360670599816395,0.0170465234759377,0.0117184632396347,0.0155037699447117,0.0,0.03337201808994301
0.09,0.0315710944327223,0.0112614935107913,0.0057727681288468,0.0046851300539942,0.0,0.02529153770602577
0.0999999999999999,0.0258060600950888,0.008483009651499,0.0001560047960726,-0.0063739240565169,0.0,0.019495820504918916
0.11,0.0218514360440466,0.0068960514026039,-0.0022784829270037,-0.0176814962369272,0.0,0.01591957720251668
0.12,0.0168934081888459,0.0039958430472856,-0.0020333085184365,-0.029246058694165,0.0,0.013439492506186385
0.13,0.0132877786982383,0.0033377722154575,-0.0035167256878799,-0.041076473161914,0.0,0.011848386878981973
0.14,0.0096483576971168,0.0032423947463792,-0.0026020767106963,-0.0531820135475177,0.0,0.011258584054202068
0.15,0.0056684609906285,0.0023757638014347,-0.0016052868595167,-0.0655723901774885,0.0,0.008729069708717431
0.16,0.0042190756343537,0.0012162626798213,-0.0016220965141776,-0.0782577757748395,0.0,0.005824962824186347
0.17,0.0036589700925112,0.0008133734669186,-0.001077039940651,-0.0912488333142954,0.0,0.0050302549194915155
0.18,0.0044105187908097,-1.9887943786343895e-05,0.0018071967334717,-0.1045567459156893,0.0,0.0038180199790706255
0.19,0.0026541960081123,-0.0003457152445935,0.0015968839808308,-0.1181932489516854,0.0,0.0033703659670227294
0.2,0.0036923086498039,-0.0004585806319132,-0.0006326682666732,-0.1321706645635815,0.0,0.002962978626348995
0.21,0.0034436536886712,-0.000203561738903,0.0,-0.1465019387985635,0.0,0.002220579151208891
0.22,0.0035173562046281,0.0002817599457956,0.0,-0.1612006816036733,0.0,0.002031673327780044
0.23,0.0034934107846527,0.0002678768809677,0.0,-0.1762812099361886,0.0,0.002055873977815011
0.24,0.0025484320190428,1.283200285872449e-05,0.0,-0.1917585942774542,0.0,0.001884283887269007
0.25,0.0026749388998093,7.319495898979594e-05,0.0,-0.2076487088678203,0.0,0.0021087215512234393
0.26,0.0026805834020588,-0.0001076182625929,0.0,-0.2239682860146827,0.0,0.0013815674975795628
0.27,0.0021393524853706,0.0006068984000239,0.0,-0.240734974864199,0.0,0.0011687084763275669
0.28,0.0020023647671994,0.0007791039983676,0.0,-0.2579674050706462,0.0,0.0006245810563339834
0.29,0.001653290599613,0.0009697498790823,0.0,-0.2756852558462891,0.0,0.0009706306635531726
0.3,0.0013334969874038,0.0010398214287754,0.0,-0.2939093309298074,0.0,0.00044790961908214993
