replicate,auc
0,0.6554849060262383
1,0.6679084639039692
2,0.6616302907103011
3,0.6594818910834042
4,0.6735468221051452
5,0.6642663984552813
6,0.6801319501887394
7,0.6560016597034163
8,0.6483016660182015
9,0.6550293831714109
10,0.6658264324476707
11,0.6603488966530651
12,0.6615534368007274
13,0.6635233572085237
14,0.6540491633491238
15,0.6563454648543774
16,0.6539913907755666
17,0.6593969361195127
18,0.6677721312084914
19,0.6641112166625267
20,0.6478740477828145
21,0.6651885804804792
22,0.6657294250277885
23,0.6616873458959229
24,0.6704775107088701
25,0.6566936648640012
26,0.6504465972858805
27,0.673615842079454
28,0.6574352143806991
29,0.6893845151140578
30,0.6822605889359816
31,0.6941901478326444
32,0.6679990161111794
33,0.6671088587415466
34,0.6536749498060372
35,0.6703770391689523
36,0.6554145408769277
37,0.647549202842151
38,0.6618226521741339
39,0.6717859676206382
40,0.6567044702646169
41,0.6715106968256077
42,0.6447657106722019
43,0.6776278583415893
44,0.6764119659003738
45,0.6701291650247384
46,0.6508558549431218
47,0.665163177047857
48,0.6667646650496933
49,0.6634693435015757
50,0.6741993237059243
51,0.6686932223444195
52,0.6701180950295206
53,0.6635909971387993
54,0.6659985600914988
55,0.654355676146451
56,0.6554426944224345
57,0.6731373188892433
58,0.6751286113390047
59,0.674600268595779
60,0.6621382612530629
61,0.6730576005392844
62,0.664990562231636
63,0.6543315147974349
64,0.663036618953283
65,0.6605016954556191
66,0.6549827495523852
67,0.6674175659632724
68,0.6698098418684113
69,0.6564060816983821
70,0.6675363425949952
71,0.6730965569730162
72,0.6748604311967068
73,0.6618709425691943
74,0.650512614322547
75,0.6720088245341668
76,0.6660590327513337
77,0.6803621624831736
78,0.6734092475078073
79,0.6840633116406769
80,0.6550129771685669
81,0.6740074733802485
82,0.6611132600331179
83,0.677424798967537
84,0.6616436486105377
85,0.6627562919204448
86,0.6608757467846809
87,0.6363217536562796
88,0.6420480129918749
89,0.6612583058158974
90,0.6587370750860492
91,0.6601537672087915
92,0.6616928185687587
93,0.6648628628002289
94,0.6658430599767571
95,0.6491450192760427
96,0.6663812329664135
97,0.6653336531217895
98,0.6553830206436909
99,0.6654756484674318
100,0.6567497710813286
101,0.6470948244985673
102,0.6589587654516332
103,0.6613427628477133
104,0.6596731219754156
105,0.6597410608810521
106,0.6724359872264027
107,0.6692247012759469
108,0.680457479781756
109,0.65741596951734
110,0.6589619151343586
111,0.6746191699192231
112,0.6667774182131898
113,0.6821335265825356
114,0.6702328169944245
115,0.6648158951067407
116,0.6515481291152834
117,0.6667031657711915
118,0.6713441200970333
119,0.6664395836724264
120,0.6552013046991673
121,0.6611772910227969
122,0.6665015943465148
123,0.6687273784047978
124,0.6588299342953747
125,0.65793463948299
126,0.657145446729655
127,0.6614930676333968
128,0.6620703543780467
129,0.660659185720479
130,0.6662830787862077
131,0.6710401387879489
132,0.6492937741786418
133,0.6600468895491111
134,0.6475671743189333
135,0.6583522077009811
136,0.6592815452069427
137,0.659147415241055
138,0.6675931705989305
139,0.6771482917278658
140,0.6641048785614498
141,0.6718530222416232
142,0.6590763175116687
143,0.6638086115025021
144,0.6557383030000831
145,0.6653957457462305
146,0.6617799440447807
147,0.663594704435986
148,0.6679884098955124
149,0.6551883710619357
150,0.6588075301172835
151,0.6738929532034992
152,0.6862742686908072
153,0.6819987964023972
154,0.6612972136985192
155,0.6683936019522847
156,0.6396661260871019
157,0.6706627585485516
158,0.671672322677432
159,0.6738857757432755
160,0.6624376312782965
161,0.650034151967894
162,0.6645340656382716
163,0.6703155170901187
164,0.6640534488573137
165,0.6497760230159568
166,0.6727058190371193
167,0.6606525100158248
168,0.6699451711590114
169,0.6590208940585397
170,0.6760777378266438
171,0.6563682713592589
172,0.6638108936606837
173,0.6624868758829576
174,0.6622440409313421
175,0.6801553742456868
176,0.685227871519114
177,0.6504709878122873
178,0.6616695022704799
179,0.6736079990482462
180,0.668278048355109
181,0.6728499608041416
182,0.6561373469989338
183,0.6644787425955097
184,0.6661423343710743
185,0.6652916187674343
186,0.6466850122419905
187,0.6719835143426586
188,0.6718402905784155
