stratum,omitted_psu,m,n,events,prevalence,auc,pr_auc,brier,calibration_intercept,calibration_slope,group
173.0,2.0,2,5499,591,0.09239662290475696,0.7083219606761173,0.20158881916039803,0.07992634302679177,-0.3678208510554588,0.8775820093078592,pooled
173.0,1.0,2,5519,605,0.09605532248164482,0.707558233382904,0.20921065291358337,0.08241499836650053,-0.3218856638160548,0.8748581850443223,pooled
174.0,1.0,2,5589,601,0.09374122138507554,0.7113119430071935,0.20378130114511028,0.0807965024745961,-0.326037908255467,0.8856428681349088,pooled
174.0,2.0,2,5496,600,0.09479496404980413,0.704513764554713,0.2070724210780705,0.08160292618006049,-0.3628413274603274,0.8664147614433986,pooled
179.0,1.0,2,5476,589,0.09401756829245228,0.7075268442647195,0.20498240816257576,0.08103636730408813,-0.3546556408496754,0.8730282291822676,pooled
179.0,2.0,2,5584,603,0.09450330380414045,0.7082685346622037,0.20582077505463015,0.08135204201646322,-0.3347667536669402,0.8788546328987726,pooled
181.0,1.0,2,5515,583,0.09606861372614757,0.7041136513834892,0.20019812094472433,0.08286936151760528,-0.34518216125551027,0.8670140223636473,pooled
181.0,2.0,2,5550,580,0.09247938247638923,0.7116187957522679,0.21095886063842373,0.07954250914655209,-0.34488914443929375,0.8846169807577154,pooled
187.0,1.0,2,5630,592,0.09301300513268015,0.7098566007631258,0.2060669644386982,0.0801862153422764,-0.34649965720463743,0.8841981805825291,pooled
187.0,2.0,2,5530,583,0.09553919798932614,0.7059995260648403,0.20475790868806565,0.0822265422022241,-0.34222634014019065,0.8679423552541334,pooled
185.0,2.0,2,5553,604,0.09539083569598894,0.7075212535804634,0.20626708614586228,0.08206388428476627,-0.3394252864271526,0.8710672136893314,pooled
185.0,1.0,2,5539,595,0.09312780853930895,0.7083201473805968,0.20454176551355266,0.08032208384070398,-0.34959246290874685,0.8811297112485721,pooled
186.0,2.0,2,5557,603,0.09513067477065104,0.7110098506830909,0.20834011393473847,0.08179861587510888,-0.34162166371102404,0.8720489809542956,pooled
186.0,1.0,2,5583,599,0.09337229181221283,0.7046531492213279,0.202586050071015,0.08057708294518663,-0.3473371206893715,0.8801791450480514,pooled
178.0,2.0,2,5532,602,0.09333868742356471,0.7091032463136693,0.20489759459764112,0.08040686116899828,-0.336793698400881,0.8828171232679982,pooled
178.0,1.0,2,5525,605,0.09519775292055879,0.7066748257432681,0.20654428122684873,0.08199360097813929,-0.3524419757118642,0.8690880245976765,pooled
184.0,1.0,2,5487,596,0.09583920961820054,0.7084018117297047,0.20583840145300514,0.08242359842608205,-0.331883147557226,0.8698936141706726,pooled
184.0,2.0,2,5565,592,0.09277437149400702,0.7075834800215022,0.20533108717395715,0.08003624385475963,-0.3556617644066816,0.8823684598453279,pooled
182.0,2.0,2,5530,593,0.09577027520012087,0.7122013533556321,0.21111537651225312,0.0820633599262485,-0.28720322494616535,0.8989509337595126,pooled
182.0,1.0,2,5575,586,0.0928069483473421,0.7036348312486559,0.19987308239407892,0.08035793137680386,-0.4012733075464395,0.8534147642633122,pooled
176.0,2.0,2,5569,596,0.09692392164919816,0.7029451506193733,0.2130949159710957,0.08307853175832444,-0.3546137698901159,0.8558554306241081,pooled
