replicate,auc
0,0.826385523354119
1,0.8377930899951718
2,0.8508507018578391
3,0.8435279568656895
4,0.8298605926169396
5,0.8306619621407021
6,0.8420743490538586
7,0.8516533126124796
8,0.8584785015114602
9,0.8387104381446377
10,0.8515499523316546
11,0.828962287641853
12,0.8363280701446426
13,0.8542878102622086
14,0.8138434261037657
15,0.835008085008085
16,0.8483572331938904
17,0.8428688598013637
18,0.8400350314044451
19,0.8343944219334839
20,0.8416360277707198
21,0.8464592304486734
22,0.8472801179854712
23,0.8242007013636377
24,0.8474647795157697
25,0.8579848377330809
26,0.8568048729553395
27,0.8250400413103792
28,0.8490322222425748
29,0.8514237782731497
30,0.832337949303838
31,0.8403669168950735
32,0.8462734233607127
33,0.8396067902837736
34,0.8181053621460218
35,0.8368289084138659
36,0.8539932533892799
37,0.8451434496161392
38,0.8384822515371773
39,0.8529101141556286
40,0.859234157912572
41,0.8520373621502749
42,0.8332907710778497
43,0.8471011363820923
44,0.8505308569949164
45,0.837308932694693
46,0.8459545262112833
47,0.8384925690021231
48,0.8322473327679534
49,0.8380374291340014
50,0.8169834644395962
51,0.8203250117348949
52,0.8414020205555834
53,0.8589266626131269
54,0.8382415444013821
55,0.8262515549016316
56,0.8406691579319745
57,0.8411706616987844
58,0.8588189733630666
59,0.8619430757779869
60,0.8590933564915328
61,0.8412812005997571
62,0.8432159724892446
63,0.836352293463512
64,0.8301035982188425
65,0.8218179766387792
66,0.8512677770172636
67,0.8413381388488332
68,0.8475494010168628
69,0.853809265183346
70,0.8478433113995455
71,0.8372915296211739
72,0.8365586346021129
73,0.8442382209050302
74,0.8349143306888456
75,0.8556246139965216
76,0.8587872054568004
77,0.8441623945638248
78,0.8417454595838788
79,0.8509582551303543
80,0.8529953745563958
81,0.844491746031746
82,0.836531376750235
83,0.8400384497634747
84,0.8350720680172556
85,0.8462290559785848
86,0.8430861887958265
87,0.8369520121698244
88,0.8247035391249474
89,0.8562736646346587
90,0.8495296006670968
91,0.8367220631494394
92,0.8411264017929766
93,0.8320596231732579
94,0.8291949458634748
95,0.8344381361830218
96,0.8382097923499198
97,0.8287419679711769
98,0.8294756310369406
99,0.8220999701564815
100,0.8249394318964531
101,0.8451893190166715
102,0.8499153101573845
103,0.8324116164846316
104,0.848998535407513
105,0.8416291795959587
106,0.8368908755874134
107,0.8481529160623789
108,0.835178002184623
109,0.8521949736567396
110,0.843004716350652
111,0.8432608967401781
112,0.8408435791053287
113,0.8341116540075395
114,0.847911290405529
115,0.8388340645924619
116,0.8321948751310131
117,0.8267693477519954
118,0.8264185382544924
119,0.8546574272496045
120,0.8417340426597737
121,0.8553800558312228
122,0.8405138927771556
123,0.8434370427534489
124,0.8545269178753281
125,0.8586550519984053
126,0.8324193388623244
127,0.8126087422282262
128,0.8414272685818514
129,0.8312981892009248
130,0.8201539843503878
131,0.833506443866486
132,0.8527953784401854
133,0.8481227774690241
134,0.8451410381162182
135,0.8501157501161765
136,0.8464275736084247
137,0.8292634739340652
138,0.8548827222501256
139,0.8489468304436626
140,0.8380962957478839
141,0.8580670764716183
142,0.8514434371219151
143,0.8428640502185136
144,0.8233181359084001
145,0.8444787930543695
146,0.8504987086753331
147,0.8354218792646868
148,0.840469956808708
149,0.8410390409283143
150,0.8255438147388952
151,0.8498417076634899
152,0.833476106977908
